timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/10 18:04:07.679, 34.38 W, 75 %, 50 %, 15360 MiB, 8506 MiB, 6403 MiB, 52
2022/11/10 18:04:08.182, 74.10 W, 96 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 53
2022/11/10 18:04:08.690, 71.95 W, 99 %, 70 %, 15360 MiB, 8506 MiB, 6403 MiB, 53
2022/11/10 18:04:09.198, 66.68 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:09.703, 69.05 W, 100 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:10.212, 35.66 W, 18 %, 13 %, 15360 MiB, 8506 MiB, 6403 MiB, 53
2022/11/10 18:04:10.715, 72.78 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:11.271, 61.64 W, 97 %, 64 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:11.779, 71.89 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:12.283, 69.34 W, 100 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:12.787, 34.77 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 53
2022/11/10 18:04:13.290, 72.97 W, 96 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:13.795, 66.48 W, 99 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:14.336, 71.36 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:14.841, 65.11 W, 100 %, 49 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:15.351, 34.77 W, 4 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 53
2022/11/10 18:04:15.854, 71.79 W, 99 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:16.361, 64.75 W, 97 %, 64 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:16.870, 72.54 W, 100 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:17.415, 64.71 W, 100 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:17.924, 34.00 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 54
2022/11/10 18:04:18.427, 71.99 W, 96 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:18.933, 66.58 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:19.442, 73.17 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
